,ocp_jl,ocp_wr,ocp_hd  ,class_mild,need,placement
6994,494,137,471,1,0,work release
6995,494,137,471,1,0,work release
6996,494,137,471,1,0,work release
6997,491,150,466,0,1,jail
6998,491,150,466,0,1,jail
6999,491,150,466,0,0,jail
7000,491,150,466,0,0,jail
7001,491,150,466,1,1,jail
7002,491,150,466,1,1,jail
7003,491,150,466,1,1,jail
7004,491,150,466,1,1,home detention
7005,491,150,466,1,1,home detention
7006,491,150,466,1,1,home detention
7007,491,150,466,1,1,home detention
7008,491,150,466,1,1,home detention
7009,491,150,466,1,1,home detention
7010,491,150,466,1,0,jail
7011,491,150,466,1,0,jail
7012,491,150,466,1,0,jail
7013,491,150,466,1,0,jail
7014,491,150,466,1,0,jail
7015,491,150,466,1,0,jail
7016,491,150,466,1,0,jail
7017,491,150,466,1,0,home detention
7018,491,150,466,1,0,home detention
7019,501,150,475,0,0,jail
7020,501,150,475,0,0,jail
7021,501,150,475,1,1,home detention
7022,501,150,475,1,1,home detention
7023,501,150,475,1,1,home detention
7024,501,150,475,1,0,jail
7025,501,150,475,1,0,home detention
7026,502,138,475,0,1,work release
7027,502,138,475,0,1,work release
7028,502,138,475,0,1,work release
7029,502,138,475,0,0,work release
7030,502,138,475,0,0,work release
7031,502,138,475,0,0,work release
7032,502,138,475,1,1,work release
7033,502,138,475,1,1,work release
7034,502,138,475,1,1,work release
7035,502,138,475,1,1,work release
7036,502,138,475,1,0,work release
7037,502,138,475,1,0,work release
7038,502,138,475,1,0,work release
7039,502,138,475,1,0,work release
7040,494,152,468,0,1,home detention
7041,494,152,468,0,1,home detention
7042,494,152,468,1,1,jail
7043,494,152,468,1,1,jail
7044,494,152,468,1,1,home detention
7045,494,152,468,1,1,home detention
7046,494,152,468,1,0,jail
7047,494,152,468,1,0,jail
7048,494,152,468,1,0,jail
7049,494,152,468,1,0,home detention
7050,494,152,468,1,0,home detention
7051,494,152,468,1,0,home detention
7052,500,152,471,0,0,jail
7053,500,152,471,0,0,jail
7054,500,152,471,0,0,jail
7055,500,152,471,1,1,jail
7056,500,152,471,1,1,jail
7057,500,152,471,1,1,home detention
7058,500,152,471,1,1,home detention
7059,500,152,471,1,1,home detention
7060,500,152,471,1,0,jail
7061,500,152,471,1,0,jail
7062,500,152,471,1,0,jail
7063,500,152,471,1,0,jail
7064,500,152,471,1,0,home detention
7065,500,152,471,1,0,home detention
7066,500,149,471,0,1,jail
7067,500,149,471,0,1,jail
7068,500,149,471,0,1,home detention
7069,500,149,471,0,0,jail
7070,500,149,471,0,0,jail
7071,500,149,471,0,0,jail
7072,500,149,471,1,1,home detention
7073,500,149,471,1,1,home detention
7074,500,149,471,1,1,home detention
7075,500,149,471,1,1,home detention
7076,500,149,471,1,0,jail
7077,500,149,471,1,0,jail
7078,500,149,471,1,0,jail
7079,500,149,471,1,0,home detention
7080,502,148,473,0,1,work release
7081,502,148,473,0,1,work release
7082,502,148,473,0,1,work release
7083,502,148,473,0,1,work release
7084,502,148,473,0,0,work release
7085,502,148,473,0,0,work release
7086,502,148,473,1,1,work release
7087,502,148,473,1,1,work release
7088,502,148,473,1,1,work release
7089,502,148,473,1,1,work release
7090,502,148,473,1,1,work release
7091,502,148,473,1,0,work release
7092,502,148,473,1,0,work release
7093,502,148,473,1,0,work release
7094,502,148,473,1,0,work release
7095,487,164,468,0,0,jail
7096,487,164,468,1,1,home detention
7097,487,164,468,1,1,home detention
7098,487,164,468,1,0,jail
7099,487,164,468,1,0,jail
7100,487,164,468,1,0,jail
7101,487,164,468,1,0,jail
7102,487,164,468,1,0,home detention
7103,493,155,462,0,1,jail
7104,493,155,462,0,1,home detention
7105,493,155,462,0,0,jail
7106,493,155,462,1,1,home detention
7107,493,155,462,1,1,home detention
7108,493,155,462,1,1,home detention
7109,493,155,462,1,0,jail
7110,493,155,462,1,0,home detention
7111,493,155,462,1,0,home detention
7112,493,155,462,1,0,home detention
7113,491,152,469,0,1,jail
7114,491,152,469,0,1,home detention
7115,491,152,469,0,0,jail
7116,491,152,469,0,0,jail
7117,491,152,469,0,0,jail
7118,491,152,469,0,0,jail
7119,491,152,469,1,1,jail
7120,491,152,469,1,1,jail
7121,491,152,469,1,0,jail
7122,491,152,469,1,0,jail
7123,491,152,469,1,0,jail
7124,491,152,469,1,0,jail
7125,491,152,469,1,0,jail
7126,491,152,469,1,0,jail
7127,491,152,469,1,0,jail
7128,504,153,460,0,1,jail
7129,504,153,460,0,1,home detention
7130,504,153,460,0,1,home detention
7131,504,153,460,0,1,home detention
7132,504,153,460,0,0,jail
7133,504,153,460,0,0,jail
7134,504,153,460,1,1,home detention
7135,504,153,460,1,1,home detention
7136,504,153,460,1,0,jail
7137,504,153,460,1,0,jail
7138,504,153,460,1,0,jail
7139,504,153,460,1,0,jail
7140,504,153,460,1,0,home detention
7141,500,152,466,0,1,jail
7142,500,152,466,0,1,home detention
7143,500,152,466,0,0,jail
7144,500,152,466,0,0,jail
7145,500,152,466,0,0,jail
7146,500,152,466,0,0,jail
7147,500,152,466,0,0,jail
7148,500,152,466,1,0,jail
7149,500,152,466,1,0,jail
7150,500,152,466,1,0,jail
7151,500,152,466,1,0,home detention
7152,500,152,466,1,0,home detention
7153,508,143,460,0,1,work release
7154,508,143,460,0,1,work release
7155,508,143,460,0,1,work release
7156,508,143,460,1,1,work release
7157,508,143,460,1,1,work release
7158,508,143,460,1,1,work release
7159,508,143,460,1,1,work release
7160,508,143,460,1,1,work release
7161,508,143,460,1,1,work release
7162,508,143,460,1,1,work release
7163,508,143,460,1,1,work release
7164,508,143,460,1,0,work release
7165,508,143,460,1,0,work release
7166,508,143,460,1,0,work release
7167,510,146,456,0,1,work release
7168,510,146,456,0,1,work release
7169,510,146,456,0,0,work release
7170,510,146,456,0,0,work release
7171,510,146,456,0,0,work release
7172,510,146,456,1,1,work release
7173,510,146,456,1,1,work release
7174,510,146,456,1,1,work release
7175,510,146,456,1,0,work release
7176,510,146,456,1,0,work release
7177,510,146,456,1,0,work release
7178,510,146,456,1,0,work release
7179,510,146,456,1,0,work release
7180,497,158,455,0,1,home detention
7181,497,158,455,0,0,jail
7182,497,158,455,0,0,jail
7183,497,158,455,0,0,jail
7184,497,158,455,0,0,jail
7185,497,158,455,0,0,jail
7186,497,158,455,1,1,jail
7187,497,158,455,1,1,home detention
7188,497,158,455,1,1,home detention
7189,497,158,455,1,1,home detention
7190,497,158,455,1,0,jail
7191,497,158,455,1,0,jail
7192,497,158,455,1,0,jail
7193,497,158,455,1,0,home detention
7194,497,158,455,1,0,home detention
7195,497,158,455,1,0,home detention
7196,496,159,459,0,1,jail
7197,496,159,459,0,1,home detention
7198,496,159,459,0,0,jail
7199,496,159,459,0,0,jail
7200,496,159,459,1,1,jail
7201,496,159,459,1,1,home detention
7202,496,159,459,1,1,home detention
7203,496,159,459,1,1,home detention
7204,496,159,459,1,1,home detention
7205,496,159,459,1,1,home detention
7206,496,159,459,1,0,jail
7207,496,159,459,1,0,jail
7208,496,159,459,1,0,jail
7209,496,159,459,1,0,home detention
7210,496,159,459,1,0,home detention
7211,496,159,459,1,0,home detention
7212,491,154,468,0,1,jail
7213,491,154,468,0,1,home detention
7214,491,154,468,0,0,jail
7215,491,154,468,0,0,jail
7216,491,154,468,1,1,jail
7217,491,154,468,1,1,jail
7218,491,154,468,1,1,home detention
7219,491,154,468,1,1,home detention
7220,491,154,468,1,1,home detention
7221,491,154,468,1,1,home detention
7222,491,154,468,1,0,jail
7223,491,154,468,1,0,jail
7224,491,154,468,1,0,jail
7225,491,154,468,1,0,jail
7226,491,154,468,1,0,jail
7227,491,154,468,1,0,jail
7228,498,155,465,0,0,jail
7229,498,155,465,0,0,jail
7230,498,155,465,1,1,jail
7231,498,155,465,1,1,jail
7232,498,155,465,1,1,home detention
7233,498,155,465,1,1,home detention
7234,498,155,465,1,1,home detention
7235,498,155,465,1,1,home detention
7236,498,155,465,1,1,home detention
7237,498,155,465,1,1,home detention
7238,498,155,465,1,1,home detention
7239,498,155,465,1,0,jail
7240,498,155,465,1,0,jail
7241,498,155,465,1,0,jail
7242,498,155,465,1,0,jail
7243,498,155,465,1,0,home detention
7244,498,155,465,1,0,home detention
7245,508,151,466,0,1,jail
7246,508,151,466,0,1,jail
7247,508,151,466,0,1,jail
7248,508,151,466,0,1,home detention
7249,508,151,466,0,1,home detention
7250,508,151,466,0,0,jail
7251,508,151,466,1,1,jail
7252,508,151,466,1,1,jail
7253,508,151,466,1,1,home detention
7254,508,151,466,1,1,home detention
7255,508,151,466,1,1,home detention
7256,508,151,466,1,0,jail
7257,508,151,466,1,0,jail
7258,508,151,466,1,0,jail
7259,508,151,466,1,0,jail
7260,508,151,466,1,0,jail
7261,508,151,466,1,0,jail
7262,508,151,466,1,0,home detention
7263,508,151,466,1,0,home detention
7264,508,151,466,1,0,home detention
7265,508,151,466,1,0,home detention
7266,514,142,475,0,1,work release
7267,514,142,475,0,1,work release
7268,514,142,475,0,1,work release
7269,514,142,475,0,1,work release
7270,514,142,475,0,0,work release
7271,514,142,475,0,0,work release
7272,514,142,475,0,0,work release
7273,514,142,475,0,0,work release
7274,514,142,475,1,1,work release
7275,514,142,475,1,1,work release
7276,514,142,475,1,0,work release
7277,514,142,475,1,0,work release
7278,509,154,471,0,1,jail
7279,509,154,471,0,1,home detention
7280,509,154,471,1,1,home detention
